Month,Day,Year,model,skintone,lightness_value,date,clean_date
5,1,2007,Doutzen Kroes,#C79A7D,0.63627451,5/1/2007,2007-5-1
12,1,2015,Jennifer Lawrence,#D39C71,0.636953243,12/1/2015,2015-12-1
12,1,2009,Cate Blanchett,#BB9E89,0.637535014,12/1/2009,2009-12-1
11,1,2000,Carmen Kass,#D2A373,0.638779956,11/1/2000,2000-11-1
5,1,2007,Sasha Pivovarova,#C99C7C,0.639433551,5/1/2007,2007-5-1
4,1,2010,Gisele Bundchen,#D59C71,0.640196078,4/1/2010,2010-4-1
3,1,2008,Drew Barrymore,#C89A7E,0.641736695,3/1/2008,2008-3-1
9,1,2010,Halle Berry,#D19D75,0.64245098,9/1/2010,2010-9-1
8,1,2014,Blake Lively,#CF9B79,0.643697479,8/1/2014,2014-8-1
9,1,2001,Linda Evangelista,#C89980,0.643837535,9/1/2001,2001-9-1
7,1,2003,Demi Moore,#C39E86,0.645490196,7/1/2003,2003-7-1
3,1,2001,Penelope Cruz,#DF8E69,0.645882353,3/1/2001,2001-3-1
3,1,2015,Karlie Kloss,#DB8D6E,0.646928105,3/1/2015,2015-3-1
9,1,2014,Edie Campbell,#D29277,0.647303922,9/1/2014,2014-9-1
2,1,2001,Karolina Kurkova,#C79B83,0.647511312,2/1/2001,2001-2-1
10,1,2017,Rooney Mara,#C39987,0.648039216,10/1/2017,2017-10-1
9,1,2014,Andreea Diaconu,#D49476,0.649542484,9/1/2014,2014-9-1
9,1,2014,Arizona Muse,#D59376,0.650544662,9/1/2014,2014-9-1
1,1,2009,Anne Hathaway,#DEA36D,0.650980392,1/1/2009,2009-1-1
3,1,2015,Taylor Swift,#DD8F6E,0.651198257,3/1/2015,2015-3-1
3,1,2005,Sandra Bullock,#D7A274,0.651372549,3/1/2005,2005-3-1
5,1,2000,Gisele Bundchen,#CC8F7F,0.651633987,5/1/2000,2000-5-1
11,1,2006,Cate Blanchett,#B5A597,0.652337858,11/1/2006,2006-11-1
10,1,2007,Charlize Theron,#CDA37F,0.652941176,10/1/2007,2007-10-1
8,1,2000,Carmen Kass,#CA9683,0.653846154,8/1/2000,2000-8-1
8,1,2006,Linda Evangelista,#CC9B82,0.655882353,8/1/2006,2006-8-1
5,1,2009,Anna Jagodzinska,#D5AA7A,0.658431373,5/1/2009,2009-5-1
6,1,2012,Hope Solo,#CDA182,0.659869281,6/1/2012,2012-6-1
9,1,2014,Fei Fei Sun,#D6967A,0.659912854,9/1/2014,2014-9-1
11,1,2000,Maggie Rizer,#D3A87D,0.66,11/1/2000,2000-11-1
